richtmyer,time
29.2566,24.0982
29.2566,24.1145
29.2566,24.1322
29.2566,24.1486
29.2566,24.1666
29.2566,24.181
29.2566,24.1983
29.2566,24.2152
29.2566,24.2324
29.2566,24.2498
29.2566,24.2649
29.2566,24.2816
29.2566,24.2987
29.2789,24.3147
29.2789,24.3331
29.2789,24.3481
29.2789,24.3644
29.2789,24.3813
29.2789,24.398
29.2789,24.4144
29.2789,24.432
29.2789,24.4477
29.2789,24.4644
29.2789,24.481
29.2789,24.4985
29.2789,24.5147
29.2789,24.5326
29.2789,24.5478
29.2789,24.5668
29.2789,24.5814
29.2789,24.5977
29.2789,24.6155
29.2789,24.6311
29.2789,24.6475
29.2789,24.6659
29.2789,24.6814
29.2789,24.6979
29.2789,24.7155
